neighborhood,avg_bedrooms,avg_bathrooms,avg_rooms,house_age,has_garage,has_pool,median_income,population,avg_occupancy,latitude,longitude,price,region
Austin Heights,3,2.5,26.48,33,1,1,15.0,4665,4.0,36.0375,-82.0007,1903850,Texas
Denver Park,3,1.0,18.273333333333333,12,1,0,15.0,2750,3.7,44.2576,-99.9147,866831,Colorado
Dallas Park Cities,4,4.0,23.933333333333334,51,1,0,6.25,2429,2.3,27.0551,-111.5593,218708,Texas
Austin Downtown,3,2.0,19.3,18,1,1,8.31,4629,2.5,25.7526,-72.4643,290879,Texas
Beverly Hills,2,2.0,21.673333333333332,25,1,1,15.0,2540,3.0,33.5296,-83.2519,971570,California
Miami Beach,2,3.0,20.9,57,1,0,7.98,2168,4.5,35.9103,-102.8541,279406,Florida
Denver Park,4,2.0,12.013333333333334,22,0,1,15.0,4489,1.9,39.7101,-109.9932,958863,Colorado
Austin Heights,4,2.5,27.35333333333333,5,1,0,15.0,4670,3.0,27.6231,-84.8936,1180285,Texas
Phoenix Valley,2,2.5,8.693333333333333,29,1,0,15.0,1420,1.2,38.5077,-85.1607,777739,Arizona
Austin Heights,2,3.0,16.173333333333332,32,1,0,15.0,1739,6.1,43.6998,-76.3804,1029049,Texas
Seattle Eastside,4,1.5,25.42,55,1,0,15.0,1907,4.2,45.9196,-124.2778,526629,Washington
Austin Downtown,4,1.5,24.12,57,1,0,6.08,1218,4.5,45.6945,-90.3711,212723,Texas
Boston Back Bay,4,4.0,28.666666666666668,1,1,0,15.0,4347,2.4,36.9248,-109.5039,633432,Massachusetts
San Diego Coastal,2,1.0,21.84,61,0,0,5.6,4882,5.7,45.6827,-71.396,196028,California
Seattle Eastside,4,2.5,21.873333333333335,60,1,1,14.03,2838,6.3,37.365,-123.6349,491024,Washington
Beverly Hills,5,2.5,25.68,14,1,1,15.0,3700,4.1,26.6872,-98.1906,1285986,California
Palo Alto,4,2.5,25.80666666666667,28,0,1,15.0,2390,3.3,47.3945,-85.9055,2224169,California
Phoenix Valley,2,3.0,9.766666666666667,62,1,0,11.38,4980,4.8,25.0599,-83.6805,398378,Arizona
Denver Park,4,4.0,23.453333333333333,47,1,1,15.0,4795,5.1,31.5732,-90.1809,756793,Colorado
Nashville Hills,3,1.0,29.186666666666667,28,1,0,5.68,3872,5.3,26.0667,-99.0333,198773,Tennessee
Nashville Hills,1,2.5,5.96,61,1,0,5.09,4499,5.0,37.5044,-74.9813,178050,Tennessee
Nashville Hills,3,2.5,20.18,51,1,0,3.98,1106,5.4,38.0509,-93.2782,139330,Tennessee
Miami Beach,5,2.0,26.84,41,1,0,8.56,4493,3.0,39.6724,-96.3336,299553,Florida
Boston Back Bay,3,3.0,32.693333333333335,1,1,0,14.23,2419,5.4,28.2283,-77.8586,498112,Massachusetts
Miami Beach,5,2.0,27.126666666666665,52,1,0,7.93,1454,3.3,25.4007,-100.6241,277450,Florida
Chicago North,3,1.5,19.44,15,1,1,15.0,4690,1.0,31.1107,-91.5664,664819,Illinois
San Diego Coastal,3,3.0,16.5,74,1,0,2.29,4297,3.3,26.1844,-106.9041,80000,California
Portland Pearl,1,3.0,14.046666666666667,16,1,0,5.45,1107,3.2,25.8115,-113.3305,190813,Oregon
Portland Pearl,4,1.5,27.44,3,1,0,12.4,3455,4.4,31.0708,-99.6814,433874,Oregon
Miami Beach,2,3.0,13.273333333333333,31,1,0,5.96,4469,5.3,47.9732,-106.5184,208734,Florida
Beverly Hills,3,2.0,27.266666666666666,28,1,1,15.0,3611,4.3,43.478,-122.9247,1852573,California
San Diego Coastal,3,1.0,23.44,29,1,0,6.27,2669,7.0,33.3203,-98.2317,219363,California
Atlanta Central,3,2.0,26.54,75,1,0,15.0,715,3.2,33.6502,-88.907,600010,Georgia
Portland Pearl,3,3.0,20.246666666666666,22,1,0,4.2,2731,1.0,46.3865,-122.1398,146910,Oregon
Boston Back Bay,1,1.5,15.293333333333333,67,0,0,6.4,3000,4.4,40.2255,-93.7975,224174,Massachusetts
Dallas Park Cities,3,1.5,20.86,14,1,0,4.49,4292,3.2,44.2503,-107.948,157109,Texas
Atlanta Central,6,2.5,33.333333333333336,50,0,0,15.0,1483,2.4,44.8824,-122.7569,822888,Georgia
Dallas Park Cities,2,2.0,18.62,11,1,0,5.65,1429,3.6,28.8937,-119.6712,197591,Texas
Nashville Hills,3,1.5,22.046666666666667,19,1,0,4.6,4672,2.8,25.3705,-85.6024,161167,Tennessee
Phoenix Valley,3,2.0,19.553333333333335,12,1,1,15.0,4270,3.0,31.1699,-95.3475,903163,Arizona
Seattle Eastside,3,3.0,19.246666666666666,27,1,0,14.85,3027,6.3,38.6714,-72.4257,519808,Washington
Seattle Eastside,4,2.5,27.266666666666666,37,1,0,11.87,2506,4.2,45.8965,-87.5128,415276,Washington
Portland Pearl,3,3.0,26.366666666666667,69,0,0,2.31,3278,3.6,32.0981,-72.0586,80931,Oregon
San Diego Coastal,3,1.5,18.346666666666668,61,1,0,8.24,1184,6.4,44.553,-109.3182,288389,California
Nashville Hills,4,2.0,26.673333333333332,56,1,0,4.06,1594,3.6,40.2303,-92.9634,141960,Tennessee
Atlanta Central,3,3.0,22.98,40,1,0,15.0,2937,2.2,40.0538,-94.275,711732,Georgia
Seattle Eastside,5,2.0,31.906666666666666,23,1,0,15.0,2396,2.0,41.4746,-96.2013,664417,Washington
Chicago North,6,1.5,24.893333333333334,24,1,0,12.26,1301,3.9,36.7653,-75.6423,429085,Illinois
Dallas Park Cities,2,2.0,13.066666666666666,11,1,0,3.18,2882,1.5,40.4927,-95.9761,111207,Texas
Phoenix Valley,3,2.0,14.713333333333333,54,1,0,15.0,3438,2.2,43.2454,-110.4999,550777,Arizona
Boston Back Bay,3,1.5,22.173333333333332,63,1,1,11.96,4154,3.4,38.5559,-86.392,418706,Massachusetts
Palo Alto,2,4.0,13.193333333333333,44,1,0,15.0,3334,5.7,25.9021,-110.4333,728616,California
Nashville Hills,3,2.0,19.35333333333333,47,1,1,4.08,3252,5.9,36.7437,-120.4153,142865,Tennessee
Atlanta Central,4,2.5,19.626666666666665,30,1,0,15.0,3004,5.0,38.7305,-92.6248,789016,Georgia
Atlanta Central,3,1.5,19.846666666666668,78,0,0,15.0,1008,4.0,45.1332,-117.4388,583818,Georgia
Boston Back Bay,3,2.5,16.0,72,1,0,9.09,2229,3.1,25.1202,-85.7181,318182,Massachusetts
Seattle Eastside,3,2.5,26.04,33,1,0,7.85,2528,4.6,26.1172,-100.8992,274836,Washington
Nashville Hills,6,3.0,33.333333333333336,61,1,1,3.47,2857,6.7,33.4626,-77.3591,121485,Tennessee
Seattle Eastside,5,2.0,30.8,28,1,0,15.0,1829,4.2,43.4682,-102.7396,662593,Washington
Seattle Eastside,2,3.0,16.386666666666667,10,1,0,12.53,3848,3.3,36.1394,-103.2093,438672,Washington
Palo Alto,4,2.0,15.126666666666667,24,1,0,15.0,2925,3.8,32.0209,-101.4127,2149662,California
Beverly Hills,3,2.5,19.553333333333335,67,1,0,15.0,1875,3.6,40.9449,-85.7451,1455419,California
Atlanta Central,4,3.0,21.933333333333334,39,1,1,15.0,2614,4.8,36.6003,-116.4651,797860,Georgia
Austin Downtown,4,2.5,27.313333333333333,70,1,1,2.93,3694,2.9,38.1955,-106.2282,102529,Texas
Dallas Park Cities,5,2.5,33.3,26,0,0,4.78,600,4.6,34.8517,-110.2666,167402,Texas
Miami Beach,2,3.0,19.726666666666667,37,1,1,9.58,2035,4.9,41.6762,-103.6623,335229,Florida
Miami Beach,3,3.0,28.733333333333334,6,0,0,6.08,1433,4.5,25.3584,-74.8583,212844,Florida
Atlanta Central,6,2.0,30.966666666666665,63,1,0,15.0,1946,2.4,25.0386,-90.2772,776353,Georgia
Austin Heights,2,1.5,14.746666666666666,25,1,0,15.0,3470,3.8,40.7051,-97.3201,1321262,Texas
Beverly Hills,2,2.5,23.533333333333335,8,0,1,15.0,1460,3.2,25.6131,-117.9045,888342,California
Atlanta Central,4,4.0,26.88,18,0,0,15.0,2949,3.9,32.7553,-93.3054,840151,Georgia
Phoenix Valley,4,2.0,24.68,54,1,0,15.0,2197,3.0,33.4256,-81.0696,738931,Arizona
Austin Heights,4,2.0,33.333333333333336,66,1,0,15.0,739,5.9,39.1176,-105.148,733038,Texas
Denver Park,4,2.0,29.08,77,1,0,13.12,4484,4.3,42.7659,-75.3418,459087,Colorado
Beverly Hills,4,1.0,24.98,19,1,1,15.0,3189,1.6,43.9019,-105.6693,1882937,California
Miami Beach,2,1.5,14.34,48,1,0,6.72,1837,2.0,31.4436,-116.1749,235340,Florida
Dallas Park Cities,4,1.5,33.07333333333333,37,1,1,3.28,2764,5.8,28.733,-79.4751,114666,Texas
San Diego Coastal,4,1.0,27.1,58,0,0,5.2,4941,3.7,47.5584,-93.8926,181852,California
Chicago North,5,2.5,30.126666666666665,54,1,0,12.7,1175,3.4,26.0062,-96.5762,444640,Illinois
Chicago North,3,2.0,25.606666666666666,6,1,0,15.0,4332,5.7,43.7177,-74.087,648547,Illinois
Phoenix Valley,2,1.5,22.69333333333333,12,1,0,14.93,508,3.8,25.4629,-79.6369,522453,Arizona
Austin Heights,4,2.0,28.926666666666666,48,1,0,15.0,4388,2.2,36.1577,-70.3995,938758,Texas
Boston Back Bay,3,2.0,26.713333333333335,43,1,0,14.69,2009,2.3,39.7543,-86.9587,514169,Massachusetts
Boston Back Bay,1,2.0,16.406666666666666,71,1,0,8.16,1832,4.9,35.9875,-93.1215,285623,Massachusetts
Beverly Hills,4,2.0,28.953333333333333,68,0,0,15.0,4008,7.0,37.9882,-95.3639,1428898,California
Chicago North,3,1.0,18.093333333333334,5,1,0,14.12,1236,5.3,25.5834,-105.4205,494170,Illinois
Phoenix Valley,3,2.5,31.653333333333332,47,0,0,15.0,1098,3.4,28.5471,-115.0488,836971,Arizona
Austin Heights,1,1.5,7.42,33,0,0,15.0,2600,3.7,37.7258,-79.618,1188744,Texas
San Diego Coastal,1,2.0,15.646666666666667,39,1,0,6.2,4749,4.1,44.0373,-124.6352,217155,California
Seattle Eastside,4,1.5,18.866666666666667,6,1,1,15.0,1991,1.0,37.6138,-76.1679,546158,Washington
Miami Beach,3,2.0,21.473333333333333,68,1,0,2.29,2941,4.0,36.4881,-110.5638,80000,Florida
San Diego Coastal,2,1.5,14.946666666666667,14,1,0,7.26,2290,4.9,47.7282,-111.833,254174,California
Austin Downtown,3,2.0,22.72,76,1,0,2.29,3912,6.7,33.9659,-124.6116,80000,Texas
Nashville Hills,2,2.0,19.82,75,1,0,2.79,4546,5.6,33.866,-105.2001,97546,Tennessee
Miami Beach,2,1.0,12.893333333333333,66,1,1,8.7,4895,6.9,26.7025,-120.1156,304630,Florida
Dallas Park Cities,3,3.0,21.84,10,1,0,4.9,1711,6.5,43.0131,-114.8502,171453,Texas
Seattle Eastside,3,2.0,29.426666666666666,33,0,1,15.0,1681,6.1,26.5575,-87.143,564737,Washington
Austin Downtown,3,1.5,15.0,2,1,0,3.91,4660,4.0,28.1316,-102.1568,136792,Texas
Portland Pearl,3,2.0,17.44,49,0,0,2.29,3122,4.5,26.3054,-124.3982,80000,Oregon
Miami Beach,3,1.5,26.586666666666666,70,1,0,7.72,1976,1.5,29.4248,-107.5715,270307,Florida
Dallas Park Cities,3,3.0,22.413333333333334,43,1,0,4.39,2032,4.2,35.0945,-124.6629,153670,Texas
Seattle Eastside,2,1.0,18.8,2,1,1,14.61,1293,4.8,25.966,-74.6649,511430,Washington
San Diego Coastal,1,2.0,19.446666666666665,25,1,0,4.43,880,3.6,34.4632,-77.6739,155092,California
Phoenix Valley,1,3.0,9.76,14,0,0,15.0,2059,1.7,36.0642,-105.5697,585526,Arizona
Austin Downtown,3,1.5,19.226666666666667,35,1,0,5.49,4070,6.4,27.5484,-111.7753,192208,Texas
Miami Beach,4,2.0,22.566666666666666,30,1,0,7.02,3467,4.6,26.2681,-119.1195,245600,Florida
Portland Pearl,2,2.5,16.14,67,1,1,5.25,554,6.6,32.2311,-86.2146,183578,Oregon
Chicago North,4,4.0,33.14,18,1,0,13.48,700,5.1,39.9623,-118.376,471833,Illinois
Dallas Park Cities,4,2.0,16.926666666666666,25,0,1,5.7,4409,6.1,38.9643,-88.1752,199385,Texas
Palo Alto,1,2.5,7.626666666666667,20,1,0,15.0,4070,5.7,27.9121,-110.7906,1010013,California
Palo Alto,1,1.5,6.713333333333333,72,1,1,15.0,4075,3.0,27.114,-84.8887,1068815,California
Seattle Eastside,2,2.5,25.473333333333333,24,0,0,12.65,4378,3.2,29.2984,-103.3718,442691,Washington
San Diego Coastal,2,2.0,14.72,80,1,1,7.49,3372,3.4,45.1102,-117.4738,262076,California
Nashville Hills,3,2.5,20.253333333333334,54,1,0,2.29,2019,2.6,46.4282,-109.7441,80000,Tennessee
Chicago North,1,1.5,5.386666666666667,25,1,0,8.22,3160,6.6,36.997,-87.0468,287604,Illinois
Miami Beach,4,2.0,24.6,48,1,0,6.94,3389,4.1,45.7523,-87.32,242990,Florida
Boston Back Bay,3,2.0,26.62,10,1,1,15.0,4305,4.7,28.0222,-92.1509,778694,Massachusetts
Austin Downtown,4,2.5,27.346666666666668,73,1,1,2.76,2892,2.0,40.1163,-107.2214,96681,Texas
Miami Beach,4,2.5,25.42,77,1,0,2.76,750,5.2,39.9214,-90.0608,96553,Florida
Chicago North,3,3.0,13.653333333333334,24,1,0,10.8,3301,3.4,35.3346,-122.6785,378079,Illinois
Austin Downtown,5,4.0,28.246666666666666,14,1,0,3.23,3813,5.9,41.9692,-91.7651,113062,Texas
Palo Alto,6,2.0,33.333333333333336,35,1,0,15.0,4755,3.0,35.9248,-82.0294,2500000,California
Austin Downtown,3,2.5,16.706666666666667,62,1,0,4.65,1311,6.0,44.6988,-117.3984,162618,Texas
Austin Heights,2,1.0,21.486666666666668,51,1,0,15.0,4370,5.4,28.1246,-80.0934,682152,Texas
Phoenix Valley,3,3.0,26.72,4,1,0,15.0,591,3.3,25.3983,-75.2247,847017,Arizona
Nashville Hills,3,2.5,19.18,1,1,0,2.29,3787,6.1,33.6968,-72.2538,80000,Tennessee
Portland Pearl,3,2.0,25.866666666666667,19,1,0,5.86,1905,5.7,27.958,-123.3479,204979,Oregon
Austin Downtown,3,2.0,21.413333333333334,61,1,0,4.96,1028,4.7,29.12,-75.7405,173562,Texas
Portland Pearl,3,3.0,28.113333333333333,21,1,0,6.63,1972,2.5,26.0983,-121.5105,232134,Oregon
Miami Beach,4,3.0,33.333333333333336,72,1,0,4.2,2983,5.2,34.9039,-104.1317,146970,Florida
Atlanta Central,3,3.0,16.166666666666668,24,1,0,15.0,1366,4.1,41.9564,-94.8392,673355,Georgia
Beverly Hills,3,2.0,26.1,72,1,0,15.0,2977,4.1,37.8034,-112.8057,1305750,California
Palo Alto,3,2.0,28.953333333333333,74,1,1,15.0,3698,4.1,33.2037,-106.0483,801272,California
Phoenix Valley,4,3.0,20.82,59,1,1,15.0,4442,4.0,25.2693,-75.0561,828019,Arizona
Beverly Hills,4,2.5,22.926666666666666,15,0,0,15.0,3015,2.7,36.7085,-115.3706,1613861,California
Seattle Eastside,1,2.0,10.866666666666667,6,0,1,15.0,3206,1.7,32.5372,-95.3663,548278,Washington
Portland Pearl,4,2.5,25.286666666666665,14,1,0,5.65,4640,1.4,30.4941,-79.5159,197802,Oregon
Austin Downtown,2,2.5,16.093333333333334,51,0,0,2.29,655,4.4,35.3855,-111.7393,80000,Texas
Seattle Eastside,4,2.5,24.94,56,1,0,7.98,3927,1.0,28.9115,-73.571,279386,Washington
Dallas Park Cities,4,2.5,30.466666666666665,79,1,1,4.2,4898,5.1,32.3972,-71.0939,147146,Texas
Austin Downtown,3,3.0,11.886666666666667,77,1,0,2.9,4217,4.8,46.302,-110.3654,101533,Texas
Nashville Hills,4,3.0,20.8,25,1,0,3.72,4652,3.5,39.0496,-98.9849,130114,Tennessee
Chicago North,5,2.0,33.333333333333336,32,1,0,14.76,4561,5.5,47.7643,-124.3827,516672,Illinois
Phoenix Valley,4,1.5,28.946666666666665,62,1,0,12.98,3150,3.6,39.4413,-72.1582,454394,Arizona
Austin Downtown,3,2.5,16.35333333333333,62,1,0,2.29,4128,4.6,27.2305,-117.4487,80000,Texas
Denver Park,4,2.5,28.98,26,1,0,15.0,2138,1.1,40.3138,-101.4707,870768,Colorado
Chicago North,3,2.0,29.073333333333334,3,1,0,15.0,1031,1.0,44.9151,-88.003,633030,Illinois
Palo Alto,4,3.0,25.733333333333334,8,1,0,15.0,881,3.6,45.9923,-89.2198,2353287,California
Portland Pearl,4,1.5,20.62,66,1,0,6.91,1334,4.6,37.7541,-89.1093,241891,Oregon
Miami Beach,2,2.0,22.66,28,1,1,9.21,3758,5.4,27.7629,-124.0585,322310,Florida
Palo Alto,3,3.0,31.186666666666667,58,1,1,15.0,2308,3.7,39.7905,-84.6199,1315778,California
Denver Park,3,3.0,17.273333333333333,65,1,0,14.29,4151,4.4,28.2884,-83.9697,500253,Colorado
Boston Back Bay,2,2.0,18.206666666666667,72,1,0,7.52,1994,5.2,26.2888,-95.0049,263243,Massachusetts
Boston Back Bay,3,1.5,27.813333333333333,40,0,0,9.53,4058,3.8,29.8696,-84.7748,333512,Massachusetts
Nashville Hills,2,2.0,18.613333333333333,51,1,0,2.29,4484,4.9,27.2318,-124.9672,80000,Tennessee
Denver Park,4,2.0,16.68,16,1,0,15.0,1970,2.3,35.2442,-115.8582,975301,Colorado
Dallas Park Cities,2,2.0,20.36,76,0,0,2.29,2858,1.5,46.71,-120.9166,80000,Texas
Chicago North,3,2.0,16.773333333333333,71,1,0,12.59,2914,3.2,40.1891,-107.7916,440811,Illinois
Nashville Hills,4,2.0,19.22,32,1,0,2.29,4441,5.2,40.9729,-113.8017,80000,Tennessee
Denver Park,3,2.5,12.78,30,1,0,15.0,2186,2.9,43.4829,-114.7657,603751,Colorado
Beverly Hills,3,2.5,28.346666666666668,59,1,1,15.0,2242,5.0,30.5024,-101.9236,1422397,California
Beverly Hills,4,2.5,21.546666666666667,34,1,1,15.0,3990,2.5,38.1656,-90.7005,1875135,California
Atlanta Central,6,2.0,33.333333333333336,59,1,0,15.0,4579,3.1,41.3975,-95.1121,943896,Georgia
Austin Downtown,4,2.0,29.086666666666666,8,1,0,7.03,627,4.4,31.9933,-78.9698,245964,Texas
Beverly Hills,2,2.0,18.86,22,1,0,15.0,822,3.0,33.9141,-103.3408,1776739,California
Atlanta Central,2,4.0,19.58,63,1,0,9.98,4700,3.3,41.1308,-102.5735,349467,Georgia
Palo Alto,5,2.0,32.026666666666664,74,1,1,15.0,2504,1.0,43.5946,-124.4108,1646276,California
Dallas Park Cities,4,2.5,26.733333333333334,3,1,0,4.84,3015,5.3,33.3176,-83.1884,169227,Texas
San Diego Coastal,4,2.0,21.94,63,1,0,7.09,4555,3.8,39.3908,-91.8763,248305,California
Portland Pearl,4,3.0,21.466666666666665,6,1,0,8.8,2286,2.6,40.2791,-118.0808,307919,Oregon
San Diego Coastal,2,2.0,17.44,70,1,0,5.77,2523,6.7,46.3641,-114.4592,201897,California
Miami Beach,3,2.0,21.326666666666668,21,1,1,10.85,4312,2.8,43.1116,-115.5866,379891,Florida
Portland Pearl,4,3.0,28.286666666666665,30,1,0,11.02,3797,3.2,29.4741,-102.5859,385652,Oregon
Beverly Hills,5,1.5,33.333333333333336,58,1,0,15.0,3621,2.6,39.3899,-122.9097,938390,California
Nashville Hills,3,2.5,23.833333333333332,68,1,0,2.29,2123,5.7,47.0279,-82.1735,80000,Tennessee
Portland Pearl,4,2.0,21.673333333333332,34,1,0,7.18,3658,6.2,33.7001,-107.5019,251444,Oregon
Portland Pearl,2,4.0,6.366666666666666,26,1,0,7.38,4231,6.0,42.6016,-74.4717,258138,Oregon
Atlanta Central,5,2.5,25.893333333333334,79,1,0,14.2,4609,6.0,37.4018,-110.0611,497099,Georgia
Nashville Hills,3,1.0,14.826666666666666,78,1,0,2.89,3341,3.1,35.0696,-104.8505,101165,Tennessee
Atlanta Central,4,3.0,22.1,42,1,0,15.0,4422,6.5,38.1161,-74.3462,881015,Georgia
Beverly Hills,3,2.5,23.286666666666665,2,1,0,15.0,4153,3.7,34.778,-115.7345,2209524,California
Dallas Park Cities,4,2.5,26.446666666666665,78,1,0,3.51,3791,1.7,32.3147,-78.4881,122711,Texas
Denver Park,4,2.0,33.333333333333336,50,1,0,15.0,2914,3.4,42.5057,-116.6701,840359,Colorado
Palo Alto,3,1.5,24.573333333333334,45,1,0,15.0,2456,4.5,37.2517,-97.7504,873114,California
Miami Beach,4,2.5,33.333333333333336,9,1,0,8.34,3369,3.0,46.502,-76.9305,291842,Florida
Denver Park,5,2.0,33.333333333333336,80,1,1,13.7,4483,4.2,25.201,-116.2134,479593,Colorado
Nashville Hills,5,3.0,33.333333333333336,58,1,0,4.93,2878,4.8,42.6951,-122.9405,172419,Tennessee
Chicago North,3,2.0,20.08,18,1,0,15.0,3649,4.6,28.6188,-111.8342,616814,Illinois
Beverly Hills,4,2.5,20.266666666666666,30,1,0,15.0,3052,5.0,42.5079,-110.583,789315,California
Austin Downtown,4,2.0,23.6,28,1,1,6.42,3419,3.7,45.0153,-102.6099,224771,Texas
Seattle Eastside,4,2.5,25.933333333333334,70,1,0,7.33,3601,2.9,43.0334,-84.0917,256512,Washington
Denver Park,3,1.0,18.64666666666667,39,1,0,13.67,734,1.8,38.6584,-122.3635,478446,Colorado
San Diego Coastal,4,2.0,20.66,70,1,0,5.8,1043,3.9,27.8223,-93.5467,203002,California
Seattle Eastside,2,1.5,20.22,56,1,1,10.2,674,3.2,47.089,-85.1104,357098,Washington
Beverly Hills,3,2.5,16.633333333333333,30,1,0,15.0,3958,3.8,32.506,-80.6048,1744671,California
Portland Pearl,2,2.0,9.82,33,1,0,4.33,4529,1.0,25.6493,-71.8383,151557,Oregon
Chicago North,3,3.0,16.013333333333332,65,1,0,12.43,2098,1.7,25.0432,-79.605,435168,Illinois
San Diego Coastal,2,1.5,16.746666666666666,40,1,0,2.29,840,4.8,41.9883,-119.3241,80000,California
Dallas Park Cities,3,2.5,16.713333333333335,55,1,0,3.83,556,1.5,44.1594,-115.3323,134050,Texas
Miami Beach,4,2.5,24.78,10,1,0,8.0,2502,3.7,43.4699,-85.3685,280135,Florida
San Diego Coastal,3,1.0,25.2,35,1,0,6.68,3396,2.8,37.8579,-113.3542,233954,California
Denver Park,1,1.0,17.06,47,1,1,15.0,1999,2.7,39.5333,-111.4144,725826,Colorado
Denver Park,4,2.0,22.473333333333333,28,1,0,15.0,3261,4.1,45.8566,-78.2955,878190,Colorado
Chicago North,5,2.5,23.04,68,1,0,7.95,1190,4.0,40.2634,-99.6115,278151,Illinois
Nashville Hills,5,4.0,26.926666666666666,17,0,0,3.5,3766,4.8,33.0774,-103.1729,122461,Tennessee
Seattle Eastside,4,1.5,29.493333333333332,68,0,0,7.3,1987,2.3,46.8593,-99.1873,255459,Washington
Atlanta Central,6,2.5,33.333333333333336,6,1,1,15.0,4992,2.7,47.2084,-110.8824,1051116,Georgia
Portland Pearl,4,2.5,27.88,35,1,1,6.51,3962,5.7,39.4415,-120.1859,227695,Oregon
Nashville Hills,5,2.5,33.333333333333336,42,1,0,6.89,2576,3.7,38.0203,-71.2542,241102,Tennessee
Dallas Park Cities,5,2.0,33.333333333333336,21,1,1,6.91,4758,4.5,46.5477,-108.943,241986,Texas
Phoenix Valley,3,4.0,19.42,44,1,0,15.0,4879,3.3,42.8957,-96.8371,628670,Arizona
San Diego Coastal,5,2.0,33.333333333333336,73,1,1,3.95,1387,4.7,27.7305,-121.7739,138421,California
Boston Back Bay,4,3.0,24.606666666666666,36,1,0,9.2,3100,1.0,47.0379,-116.794,321949,Massachusetts
Chicago North,4,2.0,31.433333333333334,44,1,1,15.0,3445,5.7,41.6604,-119.382,615638,Illinois
Atlanta Central,5,3.0,33.333333333333336,77,1,0,15.0,2110,3.3,41.9973,-122.1877,548416,Georgia
Palo Alto,3,4.0,11.453333333333333,74,1,0,15.0,4996,2.1,34.2215,-89.1961,930437,California
Phoenix Valley,3,3.0,16.846666666666668,2,1,0,15.0,3550,2.4,25.1943,-124.0694,649938,Arizona
Boston Back Bay,4,2.0,19.48,59,1,1,14.36,3926,3.6,31.2498,-99.8722,502755,Massachusetts
Dallas Park Cities,4,3.0,16.493333333333332,69,1,0,4.17,1384,3.8,32.6156,-88.4262,145845,Texas
Nashville Hills,5,1.5,33.333333333333336,76,1,0,4.6,4559,4.2,35.4854,-105.0294,161035,Tennessee
Austin Heights,5,2.5,33.333333333333336,65,1,0,15.0,4848,2.2,41.1307,-116.7397,1313505,Texas
San Diego Coastal,4,2.0,24.62,7,0,0,8.13,4569,5.3,35.364,-112.7139,284498,California
Palo Alto,5,2.5,33.333333333333336,61,1,0,15.0,2484,3.2,33.559,-116.5511,1532874,California
San Diego Coastal,2,2.0,25.913333333333334,68,1,0,3.9,4703,3.1,30.7068,-108.7535,136637,California
Atlanta Central,5,1.0,31.106666666666666,42,0,1,15.0,547,3.7,42.6755,-105.4058,707461,Georgia
Chicago North,2,2.0,17.86,2,1,0,10.51,1416,5.0,43.1126,-103.1842,367855,Illinois
San Diego Coastal,4,1.0,24.686666666666667,16,1,1,9.19,3448,3.9,33.3538,-112.7303,321587,California
Chicago North,2,2.0,20.866666666666667,23,1,0,9.52,3977,3.2,30.0039,-112.1189,333209,Illinois
Nashville Hills,4,3.0,30.66,70,0,0,2.29,1041,3.5,30.0611,-89.8336,80000,Tennessee
Boston Back Bay,3,2.5,24.46,11,1,0,14.77,1819,5.8,40.2448,-123.7321,516963,Massachusetts
Austin Downtown,2,3.0,20.273333333333333,60,1,0,2.29,900,5.6,42.7693,-100.7202,80000,Texas
Miami Beach,4,3.0,25.726666666666667,15,1,0,8.54,966,4.5,43.0546,-73.8948,298750,Florida
Phoenix Valley,4,2.0,17.5,67,1,0,15.0,605,4.2,45.0253,-83.121,574853,Arizona
Portland Pearl,2,2.0,22.786666666666665,1,1,0,7.17,4961,7.5,42.3528,-106.6902,250910,Oregon
Chicago North,4,2.0,19.14666666666667,19,1,0,15.0,4473,4.7,36.1765,-94.8322,645558,Illinois
Boston Back Bay,2,1.5,21.3,9,1,0,15.0,3238,4.3,31.1494,-70.9936,561896,Massachusetts
Austin Heights,2,2.5,22.026666666666667,45,1,0,15.0,651,3.7,33.597,-85.6022,945786,Texas
Palo Alto,2,2.5,11.913333333333334,63,1,0,15.0,3786,4.5,31.5258,-92.5703,963024,California
Boston Back Bay,4,2.5,22.753333333333334,34,0,1,12.1,2917,1.0,27.2883,-94.2413,423659,Massachusetts
Austin Heights,4,2.5,33.333333333333336,43,1,0,15.0,3993,5.5,28.3097,-75.8161,1054254,Texas
Austin Downtown,4,1.5,25.573333333333334,52,1,1,8.44,2702,2.1,25.292,-114.2866,295489,Texas
Nashville Hills,4,3.0,19.486666666666668,37,1,1,2.29,538,2.9,29.525,-93.1725,80000,Tennessee
San Diego Coastal,4,2.0,30.266666666666666,61,1,1,5.99,4599,1.9,44.2098,-105.7408,209734,California
Portland Pearl,4,3.0,21.873333333333335,23,1,0,8.5,4458,2.9,37.3539,-99.25,297578,Oregon
Boston Back Bay,6,2.0,23.753333333333334,14,1,0,13.97,4600,3.5,33.9572,-122.8046,488999,Massachusetts
Beverly Hills,3,2.0,24.766666666666666,15,1,0,15.0,3477,5.3,30.4599,-81.3731,1071105,California
Atlanta Central,2,2.0,13.106666666666667,14,1,0,15.0,4643,5.9,38.5669,-114.864,606745,Georgia
Seattle Eastside,2,2.0,19.706666666666667,4,1,0,10.78,820,6.9,47.388,-94.0513,377282,Washington
Dallas Park Cities,4,2.0,21.66,4,1,0,6.86,2300,4.2,33.0033,-74.2173,240118,Texas
